CASE #,Known to Police or FBI,Romantic Partner Victim,Homicide,Forcible rape,Robbery,Aggravated Assault,Burglary,Larceny-Theft,Motor Vehicle Theft,Arson,Simple assault,"Fraud, forgery, embezzlement",Stolen property,Vandalism,Weapons offenses,Prostitution or other non-rape sex offenses,Drugs,DUI,Other,Highest Level of Justice System Involvement,History of Physical Altercations,History of Animal Abuse,History of Domestic Abuse,Domestic Abuse Specified,History of Sexual Offenses,Gang Affiliation,Terror Group Affiliation,Known Hate Group or Chat Room Affiliation,Violent Video Games,Bully,Bullied
1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Convicted,No evidence,FALSE,Abused romantic partner,Non-sexual physical violence,FALSE,FALSE,FALSE,No evidence,FALSE,FALSE,FALSE
2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,No evidence,FALSE,No evidence,N/A,FALSE,FALSE,FALSE,No evidence,FALSE,FALSE,TRUE
3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Suspected,Attacked inanimate objects during arguments,FALSE,No evidence,N/A,FALSE,FALSE,FALSE,No evidence,FALSE,FALSE,TRUE
4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,No evidence,FALSE,No evidence,N/A,FALSE,FALSE,FALSE,No evidence,FALSE,FALSE,FALSE
5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,No evidence,FALSE,,Threats / coercive control,FALSE,FALSE,FALSE,Other radical group association,FALSE,FALSE,TRUE
6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,No evidence,FALSE,No evidence,N/A,FALSE,FALSE,FALSE,No evidence,FALSE,FALSE,TRUE
7,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Convicted,Attacked inanimate objects during arguments,FALSE,No evidence,N/A,FALSE,FALSE,FALSE,No evidence,FALSE,FALSE,TRUE
8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Arrested,No evidence,FALSE,No evidence,N/A,FALSE,FALSE,FALSE,No evidence,FALSE,FALSE,FALSE
9,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Convicted,Attacked inanimate objects during arguments,FALSE,No evidence,N/A,FALSE,FALSE,FALSE,Other radical group association,FALSE,FALSE,TRUE
10,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Convicted,No evidence,FALSE,No evidence,N/A,FALSE,FALSE,FALSE,No evidence,FALSE,FALSE,FALSE
11,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,Attacked inanimate objects during arguments,FALSE,Abused romantic partner,,TRUE,FALSE,FALSE,No evidence,FALSE,FALSE,FALSE
12,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Convicted,No evidence,FALSE,No evidence,N/A,FALSE,FALSE,FALSE,Hate group community association,FALSE,FALSE,FALSE
13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,No evidence,FALSE,Abused romantic partner,Threats with a deadly weapon,FALSE,FALSE,FALSE,No evidence,FALSE,FALSE,FALSE
14,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Convicted,No evidence,FALSE,No evidence,N/A,FALSE,FALSE,FALSE,No evidence,FALSE,FALSE,FALSE
15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,No evidence,FALSE,No evidence,N/A,FALSE,FALSE,FALSE,No evidence,FALSE,FALSE,FALSE
16,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Arrested,No evidence,FALSE,No evidence,N/A,FALSE,FALSE,FALSE,No evidence,FALSE,FALSE,FALSE
