CASE #,Full Date,Day of Week,Day,Month,Year,Street Number,Street Name,City,State,County,Zip Code,Latitude,Longitude,State Code,Region,Urban/Suburban/Rural,Metro/Micro Statistical Area Type,Location,Workplace Shooting,Multiple Locations,Other Location
1,1966-08-01,Monday,1,8,1966,110,Inner Campus Dr,Austin,TX,Travis County,78705,30.286058,-97.73935,43,South,Urban,metropolitan,College/university,FALSE,,Place of residence
2,1966-11-12,Saturday,12,11,1966,Rose-Mar College of Beauty,N Rose,Mesa,AZ,Maricopa County,85213,33.459937,-111.7819,3,West,Urban,metropolitan,Retail,FALSE,FALSE,
3,1967-10-23,Monday,23,10,1967,599,S Highland St,Lock Haven,PA,Clinton County,17745,41.125184,-77.451878,38,Northeast,Rural,micropolitan,Warehouse/factory,TRUE,,Place of residence
4,1968-03-16,Saturday,16,3,1968,11703,Lake Rd,Ironwood,MI,Gogebic County,49938,46.535978,-90.156262,22,South,Rural,,Restaurant/bar/nightclub,FALSE,,Place of residence
5,1969-04-05,Saturday,5,4,1969,,I-76,Harrisburg,PA,Chester County,17105,40.103677,-75.755056,38,Northeast,Urban,metropolitan,Outdoors,FALSE,FALSE,
6,1970-09-23,Wednesday,23,9,1970,Building 12,W. Averell Harriman State Office Campus,Albany,NY,Albany County,12240,42.614852,-73.970812,32,Northeast,Urban,metropolitan,Office,TRUE,FALSE,
7,1972-05-29,Monday,29,5,1972,4321,Lassiter At North Hills Ave,Raleigh,NC,Wake County,27609,35.837199,-78.642979,33,South,Urban,metropolitan,Retail,FALSE,FALSE,
8,1972-06-21,Wednesday,21,6,1972,383,Kings Hwy,Cherry Hill,NJ,Camden County,8034,39.927991,-74.994341,30,Northeast,Suburban,metropolitan,Office,TRUE,FALSE,
9,1973-01-07,Sunday,7,1,1973,4200,Old Gentilly Rd,New Orleans ,LA,Orleans Parish,70126,30.002426,-90.038906,18,South,Urban,metropolitan,Place of residence,FALSE,,Retail
10,1975-03-02,Sunday,2,3,1975,12370,US Hwy 101 N,Smith River,CA,Del Norte County,95567,41.949285,-124.199492,5,West,Rural,micropolitan,Place of residence,FALSE,FALSE,
11,1976-07-12,Monday,12,7,1976,800,N State College Blvd,Fullerton,CA,Orange County,92831,33.879942,-117.885447,5,West,Urban,metropolitan,College/university,TRUE,FALSE,
12,1977-02-14,Monday,14,2,1977,55,Weyman Ave,New Rochelle ,NY,Westchester County,10805,40.899336,-73.792778,32,Northeast,Suburban,metropolitan,Warehouse/factory,TRUE,FALSE,
13,1977-07-23,Saturday,23,7,1977,5711,S Sixth St,Klamath Falls,OR,Klamath County,97603,42.140888,-121.680308,37,West,Rural,micropolitan,Restaurant/bar/nightclub,FALSE,FALSE,
14,1977-08-26,Friday,26,8,1977,210,Mountain Ave,Hackettstown ,NJ,Warren County,7840,40.840175,-74.825526,30,Northeast,Rural,metropolitan,Outdoors,FALSE,,Outdoors
15,1978-06-17,Saturday,17,6,1978,2099,Post Rd,Warwick,RI,Kent County,2886,41.724743,-71.440822,39,Northeast,Urban,metropolitan,Restaurant/bar/nightclub,TRUE,FALSE,
16,1980-02-03,Sunday,3,2,1980,9870,Dyer St,El Paso,TX,El Paso County,79924,31.895472,-106.410952,43,South,Urban,metropolitan,Restaurant/bar/nightclub,FALSE,FALSE,
17,1980-06-22,Sunday,22,6,1980,202,W W M Watson Blvd,Daingerfield,TX,Morris County,75638,33.030971,-94.723466,43,South,Rural,,House of worship,FALSE,FALSE,
18,1980-07-21,Monday,21,7,1980,,,Coraopolis,PA,Allegheny County,15108,40.5184,-80.16672,38,Northeast,Suburban,metropolitan,Place of residence,FALSE,FALSE,
19,1981-05-07,Thursday,7,5,1981,,Front St NE,Salem,OR,Marion County,97301,44.960783,-123.034276,37,West,Urban,metropolitan,Restaurant/bar/nightclub,FALSE,FALSE,
20,1981-10-16,Friday,16,10,1981,Mountain Auto-Truck Parts Store,Mountain Top Rd,Allen,KY,Floyd County,41650,37.353459,-82.65672,17,South,Rural,,Retail,FALSE,FALSE,
21,1982-05-03,Monday,3,5,1982,1600,Lidia Selkregg Ln,Anchorage ,AK,Anchorage Municipality,99508,61.206063,-149.788738,2,West,Urban,metropolitan,Outdoors,FALSE,FALSE,
22,1982-08-09,Monday,9,8,1982,902,Ave N,Grand Prairie,TX,Tarrant County,75050,32.776822,-97.052636,43,South,Suburban,metropolitan,Warehouse/factory,TRUE,,Outdoors
23,1982-08-20,Friday,20,8,1982,3147,NW North River Dr,Miami,FL,Miami-Dade County,33142,25.798855,-80.247135,9,South,Urban,metropolitan,Retail,FALSE,FALSE,
24,1983-02-03,Thursday,3,2,1983,2175,Broadway,Manhattan,NY,New York County,10024,40.782387,-73.981148,32,Northeast,Urban,metropolitan,Place of residence,TRUE,,Retail
25,1983-03-01,Tuesday,1,3,1983,,,McCarthy,AK,Copper River Census Area,99566,61.433333,-142.921667,2,West,Rural,,Outdoors,FALSE,,Place of residence
26,1983-10-11,Tuesday,11,10,1983,,,College Station,TX,Brazos County,77840,30.609093,-96.325984,43,South,Suburban,metropolitan,Place of residence,FALSE,,Outdoors
27,1984-05-17,Thursday,17,5,1984,,Zitziana River,Manley Hot Springs,AK,Yukon-Koyukuk Census Area,99756,65.0187,-150.6478,2,West,Rural,,Outdoors,FALSE,,Outdoors
28,1984-06-29,Friday,29,6,1984,I-635,Midway Rd,Dallas,TX,Dallas County,75201,32.781179,-96.790329,43,South,Urban,metropolitan,Restaurant/bar/nightclub,FALSE,FALSE,
29,1984-07-18,Wednesday,18,7,1984,727,E San Ysidro Blvd,San Ysidro,CA,San Diego County,92173,32.544361,-117.029121,5,West,Rural,metropolitan,Restaurant/bar/nightclub,FALSE,FALSE,
30,1984-07-24,Tuesday,24,7,1984,1127,Central Ave,Hot Springs National Park,AR,Garland County,71901,34.504169,-93.054887,4,South,Suburban,metropolitan,Restaurant/bar/nightclub,FALSE,,Outdoors
31,1985-03-16,Saturday,16,3,1985,1926,Baldridge Ave,South Connellsville,PA,Fayette County,15425,39.993086,-79.589387,38,Northeast,Rural,metropolitan,Warehouse/factory,TRUE,FALSE,
32,1986-08-20,Wednesday,20,8,1986,200,N Broadway,Edmond,OK,Oklahoma County,73034,35.657238,-97.480943,36,South,Suburban,metropolitan,Post office,TRUE,FALSE,
33,1987-04-23,Thursday,23,4,1987,4711,NE Babcock St,Palm Bay,FL,Brevard County,32905,28.032451,-80.620433,9,South,Suburban,metropolitan,Retail,FALSE,,Place of residence
34,1988-02-16,Tuesday,16,2,1988,495,E Java Dr,Sunnyvale ,CA,Santa Clara County,94089,37.410141,-122.01158,5,West,Urban,metropolitan,Office,TRUE,FALSE,
35,1988-07-17,Sunday,17,7,1988,3336,Old Salisbury Rd,Winston Salem,NC,Forsyth County,27127,35.999209,-80.274421,33,South,Rural,metropolitan,Outdoors,FALSE,FALSE,
36,1988-09-22,Thursday,22,9,1988,1310,S Ashland Ave,Chicago   ,IL,Cook County,60608,41.864636,-87.667065,13,Midwest,Urban,metropolitan,Retail,FALSE,,K-12 school
37,1989-01-17,Tuesday,17,1,1989,20,E Fulton St,Stockton,CA,San Joaquin County,95204,37.982163,-121.302094,5,West,Rural,metropolitan,K-12 school,FALSE,FALSE,
38,1989-09-14,Thursday,14,9,1989,643,S 6th St,Louisville,KY,Jefferson County,40202,38.248225,-85.760896,17,South,Urban,metropolitan,Warehouse/factory,TRUE,FALSE,
39,1990-06-18,Monday,18,6,1990,7870,Baymeadows Way,Jacksonville,FL,Duval County,32256,30.22808,-81.582229,9,South,Urban,metropolitan,Retail,FALSE,,Outdoors
40,1991-10-10,Thursday,10,10,1991,143,E Ridgewood Ave,Ridgewood,NJ,Bergen County,7450,40.979451,-74.116823,30,Northeast,Suburban,metropolitan,Post office,TRUE,,Place of residence
41,1991-10-16,Wednesday,16,10,1991,1705,E Central Texas Expy,Killeen,TX,Bell County,76541,31.093555,-97.723877,43,South,Rural,metropolitan,Restaurant/bar/nightclub,FALSE,FALSE,
42,1991-11-01,Friday,1,11,1991,203,Van Allen Hall,Iowa City ,IA,Johnson County,52242,41.661778,-91.548347,15,Midwest,Suburban,metropolitan,College/university,FALSE,FALSE,
43,1991-11-09,Saturday,9,11,1991,,,Harrodsburg,KY,Mercer County,40330,37.803283,-84.860707,17,South,Rural,,Outdoors,FALSE,FALSE,
44,1991-11-14,Thursday,14,11,1991,200,W 2nd St,Royal Oak,MI,Oakland County,48068,42.489354,-83.146058,22,Midwest,Suburban,metropolitan,Post office,TRUE,FALSE,
45,1992-03-15,Sunday,15,3,1992,4139,E McDowell Rd,Phoenix,AZ,Maricopa County,85008,33.46461,-111.99175,3,West,Urban,metropolitan,Outdoors,FALSE,,Retail
46,1992-05-01,Friday,1,5,1992,4446,Olive Ave,Olivehurst,CA,Yuba County,95961,39.084469,-121.534431,5,West,Rural,metropolitan,K-12 school,FALSE,FALSE,
47,1992-10-15,Thursday,15,10,1992,105,9th St,Watkins Glen,NY,Schuyler County,14891,42.377164,-76.870943,32,Northeast,Rural,,Government building / place of civic importance,FALSE,FALSE,
48,1992-11-08,Sunday,8,11,1992,1144,Black Oak Dr,Paso Robles,CA,San Luis Obispo County,93446,35.644773,-120.687044,5,West,Suburban,metropolitan,Place of residence,FALSE,,Retail
49,1993-07-01,Thursday,1,7,1993,101,California St,San Francisco,CA,San Francisco County,94111,37.79304,-122.39803,5,West,Urban,metropolitan,Office,TRUE,FALSE,
50,1993-08-06,Friday,6,8,1993,528,N McPherson Church Rd,Fayetteville,NC,Cumberland County,28303,35.076877,-78.953827,33,South,Urban,metropolitan,Restaurant/bar/nightclub,FALSE,FALSE,
51,1993-10-14,Thursday,14,10,1993,850,Arnele Ave,El Cajon,CA,San Diego County,92020,32.804379,-116.972996,5,West,Suburban,metropolitan,Retail,FALSE,FALSE,
52,1993-12-02,Thursday,2,12,1993,4839,Market St,Oxnard,CA,Ventura County,93003,34.257935,-119.226564,5,West,Suburban,metropolitan,Office,TRUE,,Outdoors
53,1993-12-07,Tuesday,7,12,1993,,Merillon Ave,Garden City Park,NY,Nassau County,11530,40.734995,-73.66048,32,Northeast,Urban,metropolitan,Outdoors,FALSE,FALSE,
54,1993-12-14,Tuesday,14,12,1993,12293,E Iliff Ave,Aurora,CO,Arapahoe County,80014,39.675379,-104.844762,6,West,Suburban,metropolitan,Restaurant/bar/nightclub,TRUE,FALSE,
55,1994-06-20,Monday,20,6,1994,701,Hospital Loop,Fairchild Air Force Base,WA,Spokane County,99011,47.633161,-117.654603,47,West,Urban,metropolitan,Government building / place of civic importance,TRUE,FALSE,
56,1994-12-31,Saturday,31,12,1994,,"Puppy Creek Family Fun Center, Zodiac Club",Raeford,NC,Hoke County,28376,34.98122406,-79.22412109,33,South,Rural,,Retail,FALSE,,Restaurant/bar/nightclub
57,1995-04-03,Monday,3,4,1995,2535,Rand Morgan Rd,Corpus Christi,TX,Nueces County,78410,27.827022,-97.547919,43,South,Urban,metropolitan,Warehouse/factory,TRUE,FALSE,
58,1995-07-19,Wednesday,19,7,1995,555,Ramirez St,Los Angeles,CA,Los Angeles County,90012,34.054253,-118.230897,5,West,Urban,metropolitan,Warehouse/factory,TRUE,FALSE,
59,1995-12-19,Tuesday,19,12,1995,2186,White Plains Rd,Bronx,NY,Bronx County,10462,40.856035,-73.867456,32,Northeast,Urban,metropolitan,Retail,FALSE,FALSE,
60,1996-02-09,Friday,9,2,1996,,E Las Olas Blvd.,Fort Lauerdale ,FL,Broward County,33301,26.121323,-80.127909,9,South,Urban,metropolitan,Office,TRUE,FALSE,
61,1996-04-24,Wednesday,24,4,1996,555,S West St,Jackson,MS,Hinds County,39201,32.289656,-90.184201,24,South,Urban,metropolitan,Office,TRUE,,Place of residence
62,1997-08-19,Tuesday,19,8,1997,64,Trooper Les Lord Mem Hwy,Colebrook,NH,Coos County,3576,44.891664,-71.497782,29,Northeast,Rural,micropolitan,Office,FALSE,,Outdoors
63,1997-09-15,Monday,15,9,1997,2063,University Pkwy,Aiken ,SC,Aiken County,29801,33.581812,-81.722614,40,South,Urban,metropolitan,Warehouse/factory,TRUE,FALSE,
64,1997-12-03,Wednesday,3,12,1997,1520,Centennial Blvd,Bartow,FL,Polk County,33830,27.893339,-81.859737,9,South,Suburban,metropolitan,Warehouse/factory,TRUE,FALSE,
65,1997-12-18,Thursday,18,12,1997,1808,N Batavia St,Orange,CA,Orange County,92865,33.817491,-117.862546,5,West,Suburban,metropolitan,Warehouse/factory,TRUE,FALSE,
66,1998-03-06,Friday,6,3,1998,777,Brook St,Rocky Hill,CT,Hartford County,6067,41.644255,-72.672733,7,Northeast,Suburban,metropolitan,Office,TRUE,FALSE,
67,1998-03-24,Tuesday,24,3,1998,1800,Highway 91 W,Jonesboro ,AR,Craighead County,72404,35.857012,-90.805986,4,South,Rural,metropolitan,K-12 school,FALSE,FALSE,
68,1998-03-24,Tuesday,24,3,1998,1800,Highway 91 W,Jonesboro,AR,Craighead County,72404,35.857012,-90.805986,4,South,Rural,metropolitan,K-12 school,FALSE,FALSE,
69,1998-05-20,Wednesday,20,5,1998,333,58th St,Springfield,OR,Lane County,97478,44.04932,-122.925136,37,West,Suburban,metropolitan,K-12 school,FALSE,,Place of residence
70,1999-03-10,Wednesday,10,3,1999,1615,W Toby Ave,Gonzales,LA,Ascension Parish,70737,30.245726,-90.924089,18,South,Rural,metropolitan,House of worship,FALSE,,Place of residence
71,1999-04-20,Tuesday,20,4,1999,6201,S Pierce St,Littleton,CO,Jefferson County,80123,39.60396,-105.07407,6,West,Suburban,metropolitan,K-12 school,FALSE,FALSE,
72,1999-04-20,Tuesday,20,4,1999,6201,S Pierce St,Littleton,CO,Jefferson County,80123,39.60396,-105.07407,6,West,Suburban,metropolitan,K-12 school,FALSE,FALSE,
73,1999-06-03,Thursday,3,6,1999,1300,E Flamingo Rd,Las Vegas,NV,Clark County,89119,36.115388,-115.135914,28,West,Urban,metropolitan,Retail,FALSE,FALSE,
74,1999-07-29,Thursday,29,7,1999,3500,Piedmont Rd NE,Atlanta,GA,Fulton County,30305,33.849827,-84.377419,10,South,Urban,metropolitan,Office,TRUE,,Place of residence
75,1999-09-15,Wednesday,15,9,1999,5522,Whitman Ave,Fort Worth,TX,Tarrant County,76133,32.664911,-97.384486,43,South,Urban,metropolitan,House of worship,FALSE,FALSE,
76,1999-11-02,Tuesday,2,11,1999,700,Bishop St,Honolulu,HI,Honolulu County,96813,21.30776,-157.863492,11,West,Urban,metropolitan,Office,TRUE,FALSE,
77,1999-12-30,Thursday,30,12,1999,7700,Courtney Campbell Cswy,Tampa,FL,Hillsborough County,33607,27.967596,-82.570316,9,South,Urban,metropolitan,Retail,TRUE,,Restaurant/bar/nightclub
78,2000-03-20,Monday,20,3,2000,3311,N Belt Line Rd,Irving,TX,Dallas County,75062,32.85037,-96.993481,43,South,Urban,metropolitan,Retail,TRUE,FALSE,
79,2000-04-28,Friday,28,4,2000,1980,Park Manor Blvd,Pittsburgh,PA,Allegheny County,15205,40.454242,-80.169179,38,Northeast,Suburban,metropolitan,Place of residence,FALSE,,Retail
80,2000-12-26,Tuesday,26,12,2000,200,Harvard Mill Sq,Wakefield,MA,Middlesex County,1880,42.484021,-71.067335,21,Northeast,Suburban,metropolitan,Office,TRUE,FALSE,
81,2001-01-09,Tuesday,9,1,2001,9889,Harwin Dr,Houston,TX,Harris County,77036,29.717448,-95.532536,43,South,Urban,metropolitan,Retail,TRUE,,Retail
82,2001-02-05,Monday,5,2,2001,2701,Navistar Dr,Lisle,IL,Dupage County,60532,41.810013,-88.107627,13,Midwest,Suburban,metropolitan,Warehouse/factory,TRUE,FALSE,
83,2001-07-03,Tuesday,3,7,2001,1320,Rail Ave,Rifle,CO,Garfield County,81650,39.552052,-107.783557,6,West,Rural,micropolitan,Retail,FALSE,FALSE,
84,2001-09-08,Saturday,8,9,2001,2710,Ramp Way,Sacramento,CA,Sacramento County,95818,38.56321,-121.517347,5,West,Urban,metropolitan,Outdoors,TRUE,,Outdoors
85,2002-03-22,Friday,22,3,2002,2323,Foundation Dr,South Bend,IN,St. Joseph County,46628,41.708898,-86.30507,14,Midwest,Urban,metropolitan,Warehouse/factory,TRUE,,Outdoors
86,2003-02-25,Tuesday,25,2,2003,2709,Governors Dr SW,Huntsville,AL,Madison County,35805,34.719639,-86.602153,1,South,Urban,metropolitan,Office,TRUE,,Place of residence
87,2003-07-08,Tuesday,8,7,2003,5017,Lockheed Dr,Meridian ,MS,Lauderdale County,39301,32.413933,-88.653287,24,South,Urban,micropolitan,Warehouse/factory,TRUE,FALSE,
88,2003-08-27,Wednesday,27,8,2003,3918,S Wallace St,Chicago,IL,Cook County,60609,41.823192,-87.641205,13,Midwest,Urban,metropolitan,Warehouse/factory,TRUE,FALSE,
89,2003-10-24,Tuesday,24,10,2003,313,N State Ave,Oldtown,ID,Bonner County,83822,48.183621,-117.039097,12,West,Rural,micropolitan,Restaurant/bar/nightclub,FALSE,FALSE,
90,2004-07-02,Friday,2,7,2004,4612,Speaker Rd,Kansas City ,KS,Wyandotte County,66106,39.096158,-94.684427,16,Midwest,Urban,metropolitan,Warehouse/factory,TRUE,FALSE,
91,2004-11-21,Sunday,21,11,2004,,,Birchwood,WI,Washburn County,54817,45.732675,-91.615044,49,Midwest,Rural,,Outdoors,FALSE,FALSE,
92,2004-12-08,Wednesday,8,12,2004,5055,Sinclair Rd,Columbus,OH,Franklin County,43229,40.06856,-82.998787,35,Midwest,Urban,metropolitan,Restaurant/bar/nightclub,FALSE,FALSE,
93,2005-03-11,Friday,11,3,2005,136,Pryor St SW,Atlanta,GA,Fulton County,30303,33.750525,-84.390822,10,South,Urban,metropolitan,Government building / place of civic importance,FALSE,,Outdoors
94,2005-03-12,Saturday,12,3,2005,375,S Moorland Rd,Brookfield,WI,Waukesha County,53005,43.027257,-88.10821,49,Midwest,Suburban,metropolitan,House of worship,FALSE,FALSE,
