CASE #,Social Media Use,Leakage,Leakage How,Leakage Who,Leakage Specific/Nonspecific,Interest in Past Mass Violence,Relationship with Other Shooting(s),Specify Relationship to Other Shooting(s),Legacy Token,Pop Culture Connection,Specify Pop Culture Connection,Planning,Performance
1,FALSE,TRUE,In person,Mental health professional,TRUE,FALSE,TRUE,Robert Smith killed 5 people a few months after this shooting and said he was inspired by Whitman.,TRUE,FALSE,NA,TRUE,FALSE
2,FALSE,FALSE,,,,TRUE,TRUE,"Happened a few months after the Charles Whitman mass shooting, which Smith appeared to emulate.",FALSE,FALSE,NA,TRUE,TRUE
3,FALSE,FALSE,,,,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
4,FALSE,FALSE,,,,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
5,FALSE,FALSE,,,,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
6,FALSE,FALSE,,,,FALSE,FALSE,NA,TRUE,FALSE,NA,FALSE,FALSE
7,FALSE,FALSE,,,,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
8,FALSE,FALSE,,,,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
9,FALSE,TRUE,,,,FALSE,FALSE,NA,FALSE,FALSE,NA,TRUE,FALSE
10,FALSE,FALSE,,,,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
11,FALSE,FALSE,,,,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
12,FALSE,TRUE,In person,Coworker/supervisor,FALSE,TRUE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
13,FALSE,TRUE,In person,Waitress/Bartender/Clerk,TRUE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
14,FALSE,FALSE,,,,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
15,FALSE,FALSE,,,,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
16,FALSE,FALSE,,,,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
17,FALSE,FALSE,,,,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
18,FALSE,FALSE,,,,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
19,FALSE,FALSE,,,,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
20,FALSE,FALSE,,,,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
21,FALSE,FALSE,,,,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
22,FALSE,FALSE,,,,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
23,FALSE,TRUE,In person,Immediate family,TRUE,FALSE,FALSE,NA,TRUE,FALSE,NA,FALSE,FALSE
24,FALSE,FALSE,,,,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
25,FALSE,FALSE,,,,FALSE,FALSE,NA,FALSE,FALSE,NA,TRUE,FALSE
26,FALSE,FALSE,,,,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
27,FALSE,FALSE,,,,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
28,FALSE,TRUE,In person,Friend/neighbor,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
29,FALSE,TRUE,In person,Wife/girlfriend,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
30,FALSE,TRUE,In person,Waitress/Bartender/Clerk,FALSE,FALSE,TRUE,3rd mass shooting in a bar/restaurant in a month.,FALSE,FALSE,NA,FALSE,FALSE
31,FALSE,TRUE,In person,Other,TRUE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
32,FALSE,TRUE,In person,Coworker/supervisor,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,FALSE,FALSE
33,FALSE,FALSE,,,,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
34,FALSE,TRUE,,,,TRUE,FALSE,NA,FALSE,FALSE,NA,TRUE,FALSE
35,FALSE,TRUE,In person,Police,TRUE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
36,FALSE,FALSE,,,,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
37,FALSE,TRUE,In person,Waitress/Bartender/Clerk,FALSE,TRUE,FALSE,NA,FALSE,FALSE,NA,TRUE,FALSE
38,FALSE,TRUE,In person,Coworker/supervisor,TRUE,FALSE,TRUE,He had a magazine which prominently covered the recent Stockton mass shooting. ,FALSE,FALSE,NA,TRUE,FALSE
39,FALSE,TRUE,In person,Friend/neighbor,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
40,FALSE,FALSE,,,,TRUE,TRUE,He referenced the 1986 post office mass shooting where Patrick Sherrill killed 14 people.,TRUE,FALSE,NA,TRUE,FALSE
41,FALSE,TRUE,In person,Waitress/Bartender/Clerk,FALSE,TRUE,TRUE,He studied the mass shooting carried out by James Huberty in a fast-food restaurant in 1984.,FALSE,TRUE,"""He was obsessed with the Steely Dan song ""Don't Take Me Alive,"" which is about a violent confrontation with police.""",TRUE,FALSE
