CASE #,Raised by Single Parent,Parental Divorce / Separation,Parental Death in Childhood,Parental Suicide,Childhood Trauma,Physically Abused,Sexually Abused,Emotionally Abused,Neglected,Childhood socioeconomic status,Mother Violent Treatment,Parental Substance Abuse,Parent Criminal Record,Family Member Incarcerated,Adult Trauma
1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,Middle class,TRUE,FALSE,FALSE,FALSE,Other
2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Middle class,FALSE,FALSE,FALSE,FALSE,No evidence
3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Middle class,FALSE,FALSE,FALSE,FALSE,No evidence
4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,No evidence
5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Middle class,FALSE,FALSE,FALSE,FALSE,Other
6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Middle class,FALSE,FALSE,FALSE,FALSE,No evidence
7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lower class,FALSE,FALSE,FALSE,FALSE,Death or loss of a child
8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Middle class,FALSE,FALSE,FALSE,FALSE,No evidence
9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Middle class,FALSE,FALSE,FALSE,FALSE,Other
10,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,No evidence
11,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Lower class,FALSE,TRUE,FALSE,FALSE,No evidence
12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Middle class,FALSE,FALSE,FALSE,FALSE,No evidence
13,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Middle class,FALSE,FALSE,FALSE,FALSE,No evidence
14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,No evidence
15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,No evidence
16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lower class,FALSE,FALSE,FALSE,FALSE,Traumatic accident
17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,No evidence
18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Middle class,FALSE,FALSE,FALSE,FALSE,Death of a parent causing significant distress
19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,No evidence
20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lower class,FALSE,FALSE,FALSE,FALSE,No evidence
21,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Middle class,FALSE,FALSE,FALSE,TRUE,No evidence
22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,No evidence
23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,No evidence
24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,No evidence
25,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Lower class,FALSE,FALSE,FALSE,FALSE,No evidence
26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lower class,FALSE,FALSE,FALSE,FALSE,No evidence
27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Middle class,FALSE,FALSE,FALSE,FALSE,No evidence
28,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,Lower class,FALSE,FALSE,FALSE,FALSE,No evidence
29,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Lower class,FALSE,FALSE,FALSE,FALSE,No evidence
30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Middle class,FALSE,FALSE,FALSE,FALSE,No evidence
31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,No evidence
32,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Lower class,FALSE,FALSE,FALSE,FALSE,Death of a parent causing significant distress
33,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Lower class,FALSE,TRUE,TRUE,FALSE,No evidence
34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Middle class,FALSE,FALSE,FALSE,FALSE,No evidence
35,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Middle class,FALSE,FALSE,FALSE,FALSE,No evidence
36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lower class,FALSE,FALSE,FALSE,FALSE,Trauma from war
37,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Lower class,TRUE,FALSE,TRUE,FALSE,No evidence
38,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Lower class,FALSE,FALSE,FALSE,FALSE,No evidence
39,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lower class,FALSE,FALSE,FALSE,FALSE,Death of a parent causing significant distress
40,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Lower class,FALSE,FALSE,TRUE,TRUE,No evidence
41,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,Upper class,FALSE,FALSE,FALSE,FALSE,No evidence
42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lower class,FALSE,FALSE,FALSE,FALSE,No evidence
43,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,Trauma from war
44,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Middle class,FALSE,FALSE,FALSE,FALSE,No evidence
45,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,Lower class,TRUE,TRUE,TRUE,FALSE,Death of a parent causing significant distress
46,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Lower class,TRUE,TRUE,FALSE,FALSE,No evidence
47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,No evidence
48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,No evidence
49,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,No evidence
50,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Lower class,TRUE,FALSE,FALSE,FALSE,Death of a parent causing significant distress
51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Upper class,FALSE,FALSE,FALSE,FALSE,No evidence
52,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Middle class,FALSE,FALSE,FALSE,FALSE,Death of a parent causing significant distress
53,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Upper class,FALSE,FALSE,FALSE,FALSE,Death of a parent causing significant distress
54,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Lower class,TRUE,FALSE,FALSE,FALSE,No evidence
55,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Middle class,FALSE,FALSE,FALSE,FALSE,No evidence
56,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Lower class,FALSE,FALSE,FALSE,FALSE,No evidence
57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Middle class,FALSE,FALSE,FALSE,FALSE,No evidence
58,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,No evidence
59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lower class,FALSE,FALSE,FALSE,FALSE,No evidence
60,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,No evidence
61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,No evidence
62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,Death of a family member causing significant distress
63,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,No evidence
64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,No evidence
65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lower class,FALSE,FALSE,FALSE,FALSE,No evidence
66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Middle class,FALSE,FALSE,FALSE,FALSE,No evidence
67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Middle class,FALSE,FALSE,FALSE,FALSE,No evidence
68,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Lower class,FALSE,FALSE,TRUE,FALSE,No evidence
69,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Upper class,FALSE,FALSE,FALSE,FALSE,No evidence
70,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Lower class,FALSE,FALSE,FALSE,FALSE,No evidence
71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Middle class,FALSE,FALSE,FALSE,FALSE,No evidence
