Case #,Number Killed,Number Injured,Family Member Victim,Romantic Partner Victim,Kidnapping or Hostage Situation,On-Scene Outcome,Who Killed Shooter On Scene,Attempt to Flee,Insanity Defense,Criminal Sentence
1,15,31,1,1,0,1,2,0,2,0
2,5,2,0,0,0,2,0,0,1,1
3,6,6,0,0,0,1,2,0,2,0
4,7,2,0,0,0,2,0,0,0,3
5,4,17,0,1,,0,1,0,2,0
6,4,0,0,1,0,0,1,0,2,0
7,4,5,0,0,0,0,1,0,2,0
8,6,6,0,0,0,0,1,0,2,0
9,7,8,0,0,0,1,2,0,2,0
10,5,1,0,0,0,2,0,1,1,0
11,7,2,0,0,0,2,0,0,1,4
12,5,5,0,0,0,0,1,0,2,0
13,6,2,0,0,0,2,0,1,1,2
14,6,0,0,0,0,0,1,0,2,0
15,4,0,0,0,0,2,0,0,1,3
16,5,3,0,0,0,2,0,0,0,3
17,5,11,0,0,1,3,0,0,2,0
18,4,1,0,0,0,2,0,0,1,3
19,4,20,0,0,0,2,0,0,1,3
20,5,3,0,0,0,2,0,1,0,1
21,4,0,0,0,0,2,0,1,1,2
22,6,4,0,0,0,1,2,0,2,0
23,8,3,0,0,0,1,4,0,2,0
24,4,1,0,1,0,2,0,0,0,3
25,6,2,0,0,0,2,0,1,1,2
26,6,0,1,0,1,2,0,1,0,1
27,8,1,0,0,0,1,2,0,2,0
28,6,1,0,1,0,2,0,1,1,3
29,21,19,0,0,1,1,2,0,2,0
30,5,1,0,0,0,0,1,0,2,0
31,4,2,0,0,0,0,1,0,2,0
32,14,6,0,0,0,0,1,0,2,0
33,6,14,0,0,1,2,0,1,1,1
34,7,4,0,0,0,2,0,0,0,1
35,4,5,0,0,0,2,0,0,1,4
36,4,2,0,0,0,1,2,0,2,0
37,5,30,0,0,0,0,1,0,2,0
38,9,12,0,0,0,0,1,0,2,0
39,11,6,0,0,0,0,1,0,2,0
40,4,0,0,0,0,2,0,0,1,1
41,23,22,0,0,0,0,1,0,2,0
42,5,1,0,0,0,0,1,0,2,0
43,4,0,0,1,0,0,1,0,2,0
44,4,6,0,0,0,0,1,0,2,0
45,4,0,0,0,0,2,0,1,1,1
46,4,10,0,0,1,2,0,0,1,1
47,4,0,0,0,0,0,1,0,2,0
