Case #,Known to Police or FBI,Criminal Record,Part I Crimes,Part II Crimes,Highest Level of Justice System Involvement,History of Physical Altercations,History of Animal Abuse,History of Domestic Abuse,Domestic Abuse Specified,History of Sexual Offenses,Gang Affiliation,Terror Group Affiliation,Known Hate Group or Chat Room Affiliation,Violent Video Games,Bully,Bullied
1,0,1,0,9,4,0,0,1,1,0,0,0,0,3,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
3,1,0,0,1,1,1,0,0,0,0,0,0,0,3,0,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
5,0,0,0,0,0,0,0,3,3,0,0,0,2,3,0,1
6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
7,0,1,4,9,4,1,0,0,0,0,0,0,0,3,0,1
8,0,1,0,9,2,0,0,0,0,0,0,0,0,3,0,0
9,0,1,1,9,4,1,0,0,0,0,0,0,2,3,0,1
10,0,1,4,0,4,0,0,0,0,0,0,0,0,3,0,0
11,0,0,2; 4,0,0,1,0,1,2; 4,1,0,0,0,3,0,0
12,0,1,0,9,4,0,0,0,0,0,0,0,1,3,0,0
13,0,0,0,0,0,0,0,1,4,0,0,0,0,3,0,0
14,1,1,0,4; 5; 8; 9,4,0,0,0,0,0,0,0,0,3,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
16,0,1,0,9,2,0,0,0,0,0,0,0,0,3,0,0
17,0,1,1; 2; 8,0,3,1,0,3,2; 3,1,0,0,0,3,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
20,0,1,1,0,4,1,0,0,0,0,0,0,0,3,0,0
21,0,1,1,1; 3; 7; 8; 9,4,0,0,1,1,0,0,0,0,3,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
23,0,0,0,0,0,0,0,1,3,0,0,0,0,3,0,0
24,0,0,0,0,0,1,0,1,3,0,0,0,0,3,1,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
26,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0
27,0,1,1; 5,3; 5,4,0,0,0,0,0,0,0,0,3,0,0
28,0,1,3; 4,1; 3; 9,4,1,0,1,1; 3,0,0,0,0,3,0,1
29,1,1,0,9,4,0,1,3,1; 4,0,0,0,0,3,0,1
30,0,1,0,9,4,1,0,0,0,0,0,0,0,3,1,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
32,0,0,0,0,0,1,1,2,3,1,0,0,0,3,0,0
33,0,1,0,1; 9,4,0,0,0,0,1,0,0,0,3,1,0
34,1,0,0,9,1,0,0,1,3,1,0,0,0,3,1,0
35,1,1,0,0,2,2,0,0,0,0,0,0,0,3,0,0
36,0,1,0,1; 7,4,1,0,0,0,0,0,0,0,3,0,0
37,0,1,0,3; 5; 6; 7; 9,4,1,0,2,1,0,0,0,0,3,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
39,0,1,1; 2,2; 5; 6,4,1,0,1,1; 4,0,1,0,0,3,0,0
40,1,0,1; 2; 3; 4; 5,5; 9,1,0,0,0,0,1,0,0,0,3,1,0
41,1,1,0,7,4,1,0,0,0,0,0,0,0,3,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
43,1,1,0,1,2,1,0,1,1,0,0,0,0,3,0,0
44,1,1,0,1; 9,3,1,0,0,0,0,0,0,0,3,1,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,2,1; 3,0,0,0,0,0,0,0
47,0,1,4,5; 9,4,0,0,1,1,0,0,0,0,0,0,0
48,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,1,0,9,2,0,0,1,1; 3,0,0,0,0,0,0,0
54,0,1,3,5; 7,4,0,0,0,0,0,0,0,0,1,0,0
55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,0,1,0,1; 9,4,1,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,1,1; 3,1; 7; 9,4,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1,1,0,9,2,0,0,0,0,0,0,0,0,0,1,0
63,0,1,3; 5,3,4,1,0,0,0,0,0,0,0,0,1,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
68,0,1,0,6,4,1,0,0,0,1,0,0,0,1,1,0
69,0,1,6,3; 5; 9,3,0,0,0,0,0,0,0,0,1,1,1
70,0,1,0,1; 9,4,0,0,1,1; 3,0,0,0,0,0,0,0
71,0,1,6,9,4,1,0,0,0,0,0,0,0,1,1,0
72,1,1,6,9,4,1,0,0,0,0,0,0,0,1,1,0
73,0,1,2; 6,0,1,1,0,0,0,1,0,0,0,2,0,0
74,0,1,1; 5,6,3,1,1,3,1; 2; 3,1,0,0,0,0,1,0
75,0,1,0,7,4,2,0,2,1; 3,1,0,0,0,0,1,0
76,0,1,0,8; 9,4,2,0,0,0,0,0,0,0,0,1,0
77,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0
78,0,1,1; 5,1; 6; 7,1,1,0,0,0,1,0,0,0,0,0,0
79,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0
80,0,1,5,0,0,0,0,0,0,0,0,0,0,2,0,0
81,0,1,0,1,2,0,0,1,1,0,0,0,0,0,0,0
82,0,1,6,1; 6,4,1,0,2,2,1,0,0,0,0,1,0
