Case #,Full Date,Day of Week,Day,Month,Year,Street Number,Street Name,City,State,County,Zip Code,Latitude,Longitude,State Code,Region,Urban/Suburban/Rural,Metro/Micro Statistical Area Type,Location,Workplace Shooting,Multiple Locations,Other Location
1,08/01/1966,Monday,1,8,1966,110,Inner Campus Dr,Austin,TX,Travis County,78705,30.286058,-97.73935,43,0,0,metropolitan,1,0,1,7
2,11/12/1966,Saturday,12,11,1966,Rose-Mar College of Beauty,N Rose,Mesa,AZ,Maricopa County,85213,33.459937,-111.7819,3,3,0,metropolitan,4,0,0,NA
3,10/23/1967,Monday,23,10,1967,599,S Highland St,Lock Haven,PA,Clinton County,17745,41.125184,-77.451878,38,2,2,micropolitan,9,1,1,7
4,3/16/1968,Saturday,16,3,1968,11703,Lake Rd,Ironwood,MI,Gogebic County,49938,46.535978,-90.156262,22,0,2,,5,0,1,7
5,04/05/1969,Saturday,5,4,1969,,I-76,Harrisburg,PA,Chester County,17105,40.103677,-75.755056,38,2,0,metropolitan,8,0,0,NA
6,9/23/1970,Wednesday,23,9,1970,Building 12,W. Averell Harriman State Office Campus,Albany,NY,Albany County,12240,42.614852,-73.970812,32,2,0,metropolitan,6,1,0,NA
7,5/29/1972,Monday,29,5,1972,4321,Lassiter At North Hills Ave,Raleigh,NC,Wake County,27609,35.837199,-78.642979,33,0,0,metropolitan,4,0,0,NA
8,6/21/1972,Wednesday,21,6,1972,383,Kings Hwy,Cherry Hill,NJ,Camden County,8034,39.927991,-74.994341,30,2,1,metropolitan,6,1,0,NA
9,01/07/1973,Sunday,7,1,1973,4200,Old Gentilly Rd,New Orleans ,LA,Orleans Parish,70126,30.002426,-90.038906,18,0,0,metropolitan,7,0,1,4
10,03/02/1975,Sunday,2,3,1975,12370,US Hwy 101 N,Smith River,CA,Del Norte County,95567,41.949285,-124.199492,5,3,2,micropolitan,7,0,0,NA
11,07/12/1976,Monday,12,7,1976,800,N State College Blvd,Fullerton,CA,Orange County,92831,33.879942,-117.885447,5,3,0,metropolitan,1,1,0,NA
12,2/14/1977,Monday,14,2,1977,55,Weyman Ave,New Rochelle ,NY,Westchester County,10805,40.899336,-73.792778,32,2,1,metropolitan,9,1,0,NA
13,7/23/1977,Saturday,23,7,1977,5711,S Sixth St,Klamath Falls,OR,Klamath County,97603,42.140888,-121.680308,37,3,2,micropolitan,5,0,0,NA
14,8/26/1977,Friday,26,8,1977,210,Mountain Ave,Hackettstown ,NJ,Warren County,7840,40.840175,-74.825526,30,2,2,metropolitan,8,0,1,8
15,6/17/1978,Saturday,17,6,1978,2099,Post Rd,Warwick,RI,Kent County,2886,41.724743,-71.440822,39,2,0,metropolitan,5,1,0,NA
16,02/03/1980,Sunday,3,2,1980,9870,Dyer St,El Paso,TX,El Paso County,79924,31.895472,-106.410952,43,0,0,metropolitan,5,0,0,NA
