Case #,Shooter Last Name,Shooter First Name,Full Date,Make and Model,Classification,Caliber,Used in Shooting?,Modified,Large Capacity Magazine,Extended Magazine,When Obtained,Legal Purchase,Illegal Purchase,Assembled with Legal Parts ,Gifted,Theft,Unknown
1,Whitman,Charles,01/08/1966,Remington 700 6mm bolt-action rifle,2,0,1,0,0,0,1,,,,,,1
1,Whitman,Charles,01/08/1966,Remington .35-caliber Model 141 pump-action rifle,2,1,0,0,0,0,0,1,0,0,0,0,0
1,Whitman,Charles,01/08/1966,.30 M1 carbine,2,1,1,0,1,0,0,1,0,0,0,0,0
1,Whitman,Charles,01/08/1966,6.35mm Galesi-brescia pistol,0,0,0,0,0,0,0,1,0,0,0,0,0
1,Whitman,Charles,01/08/1966,9mm Luger pistol,0,1,0,0,0,0,0,1,0,0,0,0,0
1,Whitman,Charles,01/08/1966,.357 Magnum Smith & Wesson revolver,0,1,0,0,0,NA,0,1,0,0,0,0,0
1,Whitman,Charles,01/08/1966,12-gauge Sears sawed-off shotgun,1,2,0,1,0,NA,0,1,0,0,0,0,0
2,Smith,Robert,12/11/1966,.22-caliber pistol,0,0,1,0,0,0,1,NA,NA,0,1,0,0
3,Held,Leo,23/10/1967,.45-caliber pistol,0,2,1,0,0,0,1,3,0,0,0,0,0
3,Held,Leo,23/10/1967,.38-caliber Smith & Wesson revolver,0,1,1,0,0,NA,1,3,0,0,0,0,0
4,Pearson,Eric,16/03/1968,.30-06 rifle,2,1,1,0,0,0,1,3,0,0,0,0,0
5,Lambright,Donald,05/04/1969,.30-caliber M1 semi-automatic rifle,2,1,,0,0,0,,,,,,,1
5,Lambright,Donald,05/04/1969,.30-caliber Marlin carbine,2,1,1,0,0,0,,,,,,,1
6,White,Joseph,23/09/1970,.308-caliber Remington rifle,2,1,1,0,0,0,1,1,0,0,0,0,0
7,McLeod,Harvey Glenn,29/05/1972,.22-caliber Marlin semi-automatic rifle,2,0,1,0,0,0,0,0,3,0,0,0,0
8,Grace,Edwin,21/06/1972,.22-caliber AR-7 automatic rifle with sawed-off barrel,2,0,1,1,0,0,0,1,0,0,0,0,0
8,Grace,Edwin,21/06/1972,.22-caliber AR-7 automatic rifle with sawed-off barrel,2,0,1,1,0,0,0,1,0,0,0,0,0
9,Essex,Mark,07/01/1973,.44-caliber Magnum carbine rifle,2,2,1,0,0,0,1,1,0,0,0,0,0
10,Sander,Robert,02/03/1975,.30-30-caliber rifle,2,1,1,0,0,0,0,1,0,0,0,0,0
11,Allaway,Edward,12/07/1976,.22-caliber semi-automatic rifle,2,0,1,0,0,0,0,0,3,0,0,0,0
12,Cowan,Fred,14/02/1977,5.56mm M-16 automatic rifle,3,1,1,0,1,0,1,,,,,,1
12,Cowan,Fred,14/02/1977,.45-caliber pistol,0,2,2,0,0,0,1,0,5,0,0,0,0
12,Cowan,Fred,14/02/1977,.45-caliber pistol,0,2,0,0,0,0,1,0,5,0,0,0,0
12,Cowan,Fred,14/02/1977,Handgun,0,,0,0,0,0,1,0,5,0,0,0,0
12,Cowan,Fred,14/02/1977,Handgun,0,,0,0,0,0,1,0,5,0,0,0,0
13,Henry,Dewitt,23/07/1977,.223-caliber M-16 style semi-automatic rifle,3,0,1,0,1,0,,,,,,,1
14,Benoist,Emile Pierre,26/08/1977,.44-caliber Magnum Ruger semi-automatic carbine rifle,2,2,1,0,0,0,,0,5,0,0,0,0
15,Chin,Gan Fong,17/06/1978,.30-30 carbine rifle,2,1,1,0,0,0,0,1,0,0,0,0,0
16,Chvarak,Barry,03/02/1980,.22-caliber Marlin Model 60 semi-automatic rifle,2,0,1,0,1,0,,,,,,,1
17,King,Alvin,22/06/1980,.223-caliber AR-15 rifle with bayonet and scope,3,0,0,1,1,0,1,,,,,,1
17,King,Alvin,22/06/1980,.30-caliber M1 carbine rifle with bayonet,2,1,1,1,1,0,1,,,,,,1
