Case #,Social Media Use ,Leakage ,Leakage How,Leakage Who ,Leakage Specific/Nonspecific ,Interest in Past Mass Violence,Relationship with Other Shooting(s),Specify Relationship to Other Shooting(s),Legacy Token,Pop Culture Connection,Specify Pop Culture Connection,Planning,Performance
1,2,1,0,0,1,0,1,Robert Smith killed 5 people a few months after this shooting and said he was inspired by Whitman.,1,0,NA,1,0
2,2,0,NA,NA,NA,1,1,Happened a few months after the Charles Whitman mass shooting; which Smith appeared to emulate.,0,0,NA,1,1
3,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
4,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
5,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
6,2,0,NA,NA,NA,0,0,NA,1,0,NA,0,0
7,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
8,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
9,2,1,1; 1,9; 1,1; 0,0,0,NA,0,0,NA,1,0
10,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
11,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
12,2,1,0,4,0,1,0,NA,0,0,NA,0,0
13,2,1,0,8,1,0,0,NA,0,0,NA,0,0
14,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
15,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
16,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
17,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
18,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
19,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
20,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
21,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
22,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
23,2,1,0,1,1,0,0,NA,1,0,NA,0,0
24,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
25,2,0,NA,NA,NA,0,0,NA,0,0,NA,1,0
26,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
27,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
28,2,1,0,5,0,0,0,NA,0,0,NA,0,0
29,2,1,0,2,0,0,0,NA,0,0,NA,0,0
30,2,1,0,8,0,0,1,3rd mass shooting in a bar/restaurant in a month.,0,0,NA,0,0
31,2,1,0,9,1,0,0,NA,0,0,NA,0,0
32,2,1,0,4,0,0,0,NA,1,0,NA,0,0
33,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
34,2,1,1; 0,4; 4,1; 1,1,0,NA,0,0,NA,1,0
35,2,1,0,3,1,0,0,NA,0,0,NA,0,0
36,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
37,2,1,0,8,0,1,0,NA,0,0,NA,1,0
38,2,1,0,4,1,0,1,He had a magazine which prominently covered the recent Stockton mass shooting. ,0,0,NA,1,0
39,2,1,0,5,0,0,0,NA,0,0,NA,0,0
40,2,0,NA,NA,NA,1,1,He referenced the 1986 post office mass shooting where Patrick Sherrill killed 14 people.,1,0,NA,1,0
41,2,1,0,8,0,1,1,He studied the mass shooting carried out by James Huberty in a fast-food restaurant in 1984.,0,2,"He was obsessed with the Steely Dan song ""Don't Take Me Alive;"" which is about a violent confrontation with police.",1,0
42,2,0,NA,NA,NA,0,1,Occurred 2 weeks after the then-deadliest mass shooting in America.,1,2,"He referenced the movies No Way Out; Die Hard; Indiana Jones; and unspecified Clint Eastwood films where a single ""cowboy"" fights against a group of bad guys who pick on him and cover for each other. This mirrors his dispute with the university physics department; which he believed was working against him.",1,1
43,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
44,2,1,0,4,1,0,1,Occurred 1 month after another postal worker (Joseph Harris) committed a mass shooting.,0,0,NA,0,0
45,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
46,2,1,0,5,1,1,0,NA,1,2,Fascinated with the Terminator movies. Saw The Terminator 23 times; including the night before the shooting; and talked about attacking the school in a similar manner to scenes from the movies.,1,0
47,2,0,NA,NA,NA,0,0,NA,1,0,NA,0,0
48,2,1,0,9,0,0,0,NA,1,0,NA,0,0
49,2,0,NA,NA,NA,0,0,NA,1,0,NA,0,0
50,2,0,NA,NA,NA,0,0,NA,0,1,Earlier in the day he watched the movie The Unforgiven and imitated the drinking and shooting going on. He called several people and then did the mass shooting that night.,0,0
51,2,1,2,7,0,1,0,NA,0,0,NA,0,0
52,2,0,NA,NA,NA,0,0,NA,1,0,NA,0,0
53,2,0,NA,NA,NA,0,0,NA,1,0,NA,1,0
54,2,1,0,4,1,0,0,NA,0,0,NA,0,0
55,2,1,0,0,1,0,0,NA,0,0,NA,0,0
56,2,1,0,1,0,0,0,NA,0,0,NA,0,0
57,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
58,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
59,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
60,2,1,0,4,1,0,0,NA,1,0,NA,0,0
61,2,1,0,4,1,0,0,NA,0,0,NA,0,0
62,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
63,2,1,3,4,0,0,0,NA,0,0,NA,1,0
64,2,1,0,9,0,0,0,NA,0,0,NA,1,0
65,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
66,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
67,2,1,0,6,1,0,0,NA,0,0,NA,1,0
68,2,1,0,6,1,0,0,NA,0,2,"He loved the song ""Crept and We Came"" by Bone Thugs-n-Harmony; which is about massacre killings. Picked up a pose from the Oliver Stone movie ''Natural Born Killers;'' telling a friend it would be ''pretty cool'' to go on a killing spree just like the two lead characters in the film.",1,0
69,2,1,0,6,0,1,1,This was the 4th American school shooting in the 1997-1998 school year.,1,0,NA,0,0
70,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
71,0,1,2,6,1,1,1,They wanted the attack to fall on the anniversary of the Oklahoma City bombing. Many shooters have since admired or imitated the Columbine shooting.,1,1,Inspired by the movie Natural Born Killers.,1,1
72,1,1,2,6,1,1,1,They wanted the attack to fall on the anniversary of the Oklahoma City bombing. Many shooters have since admired or imitated the Columbine shooting.,1,1,Inspired by the movie Natural Born Killers.,1,1
73,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
74,0,1,0,2,0,0,0,NA,1,0,NA,1,0
75,0,0,NA,NA,NA,1,0,NA,0,0,NA,0,0
76,0,1,0,4,0,0,0,NA,0,0,NA,0,0
77,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
78,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
79,1,0,NA,NA,NA,1,0,NA,0,0,NA,0,0
80,1,0,NA,NA,NA,0,0,NA,0,0,NA,1,0
81,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
82,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
83,0,1,0,8,0,0,0,NA,0,0,NA,0,0
84,0,1,5,4,0,1,1,He wanted to outdo a recent incident where a man killed 6 people and he mentioned the Oklahoma City bombing.,1,0,NA,0,1
85,0,0,NA,NA,NA,1,0,NA,0,0,NA,0,0
86,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
87,0,1,0,4,0,0,0,NA,0,0,NA,0,0
88,0,1,3,4,0,0,0,NA,1,0,NA,0,0
89,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
90,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
91,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
